id,vcs201_attendees_total,vcs011_prgrm,month,year,vcs009_country
,36,Zomba 1,2,2014,3
,83,Zomba 1,11,2013,3
,70,Zomba 1,11,2013,3
,69,Zomba 1,1,2012,3
,172,Zomba 1,12,2013,3
,134,Zomba 1,11,2013,3
,50,Zomba 1,2,2014,3
,95,Zomba 1,11,2013,3
,54,Zomba 1,2,2014,3
,47,Zomba 1,2,2014,3
,68,Zomba 1,2,2014,3
,64,Zomba 1,11,2013,3
,84,Zomba 1,11,2013,3
,95,Zomba 1,11,2013,3
,43,Zomba 1,2,2014,3
,95,Zomba 1,11,2013,3
,125,Zomba 1,2,2014,3
,56,Zomba 1,2,2014,3
,95,Zomba 1,11,2013,3
,15,Zomba 1,2,2014,3
,63,Zomba 1,2,2014,3
,73,Zomba 1,2,2014,3
,140,Zomba 1,11,2013,3
,109,Zomba 1,12,2013,3
,59,Zomba 1,2,2014,3
,95,Zomba 1,11,2013,3
,100,Zomba 1,3,2014,3
,72,Zomba 1,12,2013,3
,290,Zomba 1,2,2014,3
,66,Zomba 1,2,2014,3
,70,Zomba 1,2,2014,3
,47,Zomba 1,2,2014,3
,51,Zomba 1,2,2014,3
,58,Zomba 1,12,2013,3
,54,Zomba 1,2,2014,3
,58,Zomba 1,2,2014,3
,70,Zomba 1,2,2014,3
,54,Zomba 1,2,2014,3
,51,Zomba 1,2,2014,3
,23,Zomba 1,2,2014,3
,40,Zomba 1,11,2013,3
,95,Zomba 1,11,2013,3
,32,Zomba 1,2,2014,3
,72,Zomba 1,1,2013,3
,55,Zomba 1,2,2014,3
,42,Zomba 1,11,2013,3
,128,Zomba 1,1,2013,3
,211,Zomba 1,2,2014,3
,118,Zomba 1,12,2013,3
,65,Zomba 1,2,2014,3
,55,Zomba 1,2,2014,3
,56,Zomba 1,2,2014,3
,57,Zomba 1,2,2014,3
,60,Zomba 3,11,2014,3
,112,Zomba 3,10,2014,3
,20,Zomba 3,11,2014,3
,81,Zomba 3,1,2013,3
,75,Zomba 3,10,2014,3
,68,Zomba 3,10,2014,3
,230,Zomba 3,10,2014,3
,236,Zomba 3,1,2012,3
,42,Zomba 3,11,2014,3
,42,Zomba 3,11,2014,3
,385,Zomba 3,10,2014,3
,72,Zomba 3,10,2014,3
,89,Zomba 3,11,2014,3
,65,Zomba 3,1,2012,3
,280,Zomba 3,10,2014,3
,35,Zomba 3,11,2014,3
,160,Zomba 3,10,2014,3
,150,Zomba 3,10,2014,3
,110,Zomba 3,11,2014,3
,149,Zomba 3,11,2014,3
,28,Zomba 3,10,2014,3
,204,Zomba 3,10,2014,3
,207,Zomba 3,10,2014,3
,57,Zomba 3,1,2013,3
,38,Zomba 3,11,2014,3
,68,Zomba 3,1,2013,3
,148,Zomba 3,10,2014,3
,186,Zomba 3,11,2014,3
,48,Zomba 3,11,2014,3
,63,Zomba 3,10,2014,3
,1224,Zomba 3,11,2014,3
,55,Zomba 3,11,2014,3
,30,Zomba 3,10,2014,3
,80,Zomba 3,11,2014,3
,16,Zomba 3,11,2014,3
,94,Zomba 3,10,2014,3
,135,Zomba 3,10,2014,3
,100,Zomba 3,10,2014,3
,89,Zomba 3,10,2014,3
,142,Zomba 3,11,2014,3
,235,Zomba 3,10,2014,3
,505,Zomba 3,10,2014,3
,122,Zomba 3,11,2014,3
,93,Zomba 3,11,2014,3
,44,Zomba 3,11,2014,3
,61,Zomba 3,11,2014,3
,200,Zomba 3,10,2014,3
,36,Zomba 3,11,2014,3
,400,Zomba 3,10,2014,3
,196,Zomba 3,10,2014,3
,250,Zomba 3,11,2014,3
,186,Zomba 3,11,2014,3
,87,Zomba 3,11,2014,3
,500,Zomba 3,10,2014,3
,200,Zomba 3,10,2014,3
,72,Zomba 3,11,2014,3
,56,Zomba 3,11,2014,3
,102,Zomba 3,11,2014,3
,133,Zomba 3,10,2014,3
